"Site_no","date","ParamLow","ParamHigh","Parameter","Uncen"
"01122610",1985-03-12,1.22380000555232,1.22380000555232,"CSMR",1
"01122610",1985-04-17,0.834409094694762,0.834409094694762,"CSMR",1
"01122610",1985-05-17,2.45796057275238,2.45796057275238,"Larson",1
"01122610",1985-05-17,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1985-06-18,1.1473125052053,1.1473125052053,"CSMR",1
"01122610",1985-07-12,1.57801715679814,1.57801715679814,"Larson",1
"01122610",1985-07-12,1.35591477887899,1.35591477887899,"CSMR",1
"01122610",1985-08-13,0.99052434466991,0.99052434466991,"CSMR",1
"01122610",1985-09-06,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1985-10-24,1.41207692948344,1.41207692948344,"CSMR",1
"01122610",1985-11-15,2.30860743660055,2.30860743660055,"Larson",1
"01122610",1985-11-15,0.759312276172233,0.759312276172233,"CSMR",1
"01122610",1985-12-16,0.809376821853919,0.809376821853919,"CSMR",1
"01122610",1986-01-17,2.26888668254066,2.26888668254066,"Larson",1
"01122610",1986-01-17,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1986-03-14,0.462501041059382,0.462501041059382,"CSMR",1
"01122610",1986-04-17,0.709247730490547,0.709247730490547,"CSMR",1
"01122610",1986-05-20,1.75509014787414,1.75509014787414,"Larson",1
"01122610",1986-05-20,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1986-06-19,0.801032730906971,0.801032730906971,"CSMR",1
"01122610",1986-07-10,1.77782385726294,1.77782385726294,"Larson",1
"01122610",1986-07-10,0.834409094694762,0.834409094694762,"CSMR",1
"01122610",1986-08-14,0.834409094694762,0.834409094694762,"CSMR",1
"01122610",1986-09-05,0.778781821715111,0.778781821715111,"CSMR",1
"01122610",1986-10-23,1.11254545959302,1.11254545959302,"CSMR",1
"01122610",1986-11-17,2.40100542793205,2.40100542793205,"Larson",1
"01122610",1986-11-17,0.73428000333139,0.73428000333139,"CSMR",1
"01122610",1986-12-17,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1987-01-20,4.61767084101615,4.61767084101615,"Larson",1
"01122610",1987-01-20,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1987-03-13,1.08473182310319,1.08473182310319,"CSMR",1
"01122610",1987-04-23,0.834409094694762,0.834409094694762,"CSMR",1
"01122610",1987-05-13,2.11000188418234,2.11000188418234,"Larson",1
"01122610",1987-05-13,1.50193637045057,1.50193637045057,"CSMR",1
"01122610",1987-06-18,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1987-07-08,1.88204122459417,1.88204122459417,"Larson",1
"01122610",1987-07-08,0.667527275755809,0.667527275755809,"CSMR",1
"01122610",1987-08-12,1.06804364120929,1.06804364120929,"CSMR",1
"01122610",1987-09-04,0.778781821715111,0.778781821715111,"CSMR",1
"01122610",1987-10-21,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1987-11-17,2.61185352915999,2.61185352915999,"Larson",1
"01122610",1987-11-17,1.41849546098109,1.41849546098109,"CSMR",1
"01122610",1987-12-17,1.08473182310319,1.08473182310319,"CSMR",1
"01122610",1988-01-20,1.50193637045057,1.50193637045057,"CSMR",1
"01122610",1988-03-11,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1988-04-13,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1988-05-10,2.80814423659863,2.80814423659863,"Larson",1
"01122610",1988-05-10,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1988-06-15,0.934538186058133,0.934538186058133,"CSMR",1
"01122610",1988-07-13,2.28398122846736,2.28398122846736,"Larson",1
"01122610",1988-07-13,1.20154909636046,1.20154909636046,"CSMR",1
"01122610",1988-08-10,0.934538186058133,0.934538186058133,"CSMR",1
"01122610",1988-09-06,0.934538186058133,0.934538186058133,"CSMR",1
"01122610",1988-10-19,1.08473182310319,1.08473182310319,"CSMR",1
"01122610",1988-11-15,2.83755186937424,2.83755186937424,"Larson",1
"01122610",1988-11-15,0.73428000333139,0.73428000333139,"CSMR",1
"01122610",1988-12-15,0.801032730906971,0.801032730906971,"CSMR",1
"01122610",1989-01-10,3.09465814338193,3.09465814338193,"Larson",1
"01122610",1989-01-10,0.867785458482552,0.867785458482552,"CSMR",1
"01122610",1989-03-14,0.801032730906971,0.801032730906971,"CSMR",1
"01122610",1989-04-12,1.07665689638034,1.07665689638034,"CSMR",1
"01122610",1989-05-09,2.77220157431733,2.77220157431733,"Larson",1
"01122610",1989-05-09,1.22380000555232,1.22380000555232,"CSMR",1
"01122610",1989-06-14,0.979040004441853,0.979040004441853,"CSMR",1
"01122610",1989-07-11,1.78212958348971,1.78212958348971,"Larson",1
"01122610",1989-07-11,1.22380000555232,1.22380000555232,"CSMR",1
"01122610",1989-08-09,1.08473182310319,1.08473182310319,"CSMR",1
"01122610",1989-09-05,1.22380000555232,1.22380000555232,"CSMR",1
"01122610",1989-10-19,0.967914549845923,0.967914549845923,"CSMR",1
"01122610",1989-11-16,1.985348023033,1.985348023033,"Larson",1
"01122610",1989-11-16,0.979040004441853,0.979040004441853,"CSMR",1
"01122610",1989-12-14,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1990-01-17,2.93851780791937,2.93851780791937,"Larson",1
"01122610",1990-01-17,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1990-03-13,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1990-04-11,1.18432258601837,1.18432258601837,"CSMR",1
"01122610",1990-05-07,2.21122622994817,2.21122622994817,"Larson",1
"01122610",1990-05-07,1.3112142916632,1.3112142916632,"CSMR",1
"01122610",1990-06-14,1.2837062995304,1.2837062995304,"CSMR",1
"01122610",1990-07-11,1.60908349661287,1.60908349661287,"Larson",1
"01122610",1990-07-11,2.18230070920168,2.18230070920168,"CSMR",1
"01122610",1990-08-08,1.16817273257267,1.16817273257267,"CSMR",1
